DisplayName,Phone
AIR uniqueParentCompany LTD EGYPT,1.12023E+11
EVAP EGYPT,1.12022E+12
uniqueParentCompany  BELGIUM,1.13212E+11
uniqueParentCompany  MILANO ITALY,1.13903E+12
uniqueParentCompany  SONDRIO ITALY,1.13903E+13
uniqueParentCompany Air Cool Syst Jiaxing Ch,1.18657E+14
uniqueParentCompany AIR SOLUTIONS DENMARK,1.14598E+11
uniqueParentCompany Air Solutions GmbH,1.14954E+13
uniqueParentCompany ALCOIL,PhoneNumber15
uniqueParentCompany AUSTRALIA,1.1613E+12
uniqueParentCompany BEIJING,1.18611E+13
uniqueParentCompany BLCT DRY COOLNG COLORADO,19088953239
uniqueParentCompany BLCT DRY COOLNG MAIN OFC,19088953223
unique-Company-Name-4 Plant,1.15511E+13
uniqueParentCompany CHINA SHANGHAI,1.18622E+13
uniqueParentCompany Dry Cooling Inc.,PhoneNumber10
uniqueParentCompany Dry Cooling Inc. CO,19088953240
uniqueParentCompany EGYPT,1.12022E+12
unique-Office-Location-3 LAKE VIEW IA,PhoneNumber4
unique-Company-Name-11 (Quebec),PhoneNumber18
unique-Company-Name-12,1.1012E+16
uniqueParentCompany MIDDLE EAST DUBAI,1.19715E+12
unique-Office-Location-2 Backup Number,12179239221
unique-Office-Location-2 Location3 IL,phoneNumber3
unique-Office-Location-27,PhoneNumber12
uniqueParentCompany NW,15036392137
uniqueParentCompany Power Mexico,1.15256E+13
uniqueParentCompany REGIONAL OFC MEDFORD,PhoneNumber17
unique-Office-Location-21,PhoneNumber19
uniqueParentCompany SOUTH AFRICA,1.12711E+12
unique-Office-Location-1 MADERA CA,PhoneNumber2
uniqueParentCompany-SEMCO PLANT,1.15511E+13
uniqueParentCompany-SEMCO SALES OFFICE,1.15512E+13
unique-Company-Name-17,1.16038E+12
anonSubsidiary-1 LENEXA KS,PhoneNumber9
unique-Office-Location-16,1.15511E+13
TOWER COMPONENTS RAMSEUR NC,PhoneNumber11



























